[-2.418,-1.86187]
[-2.4156,-1.85955]
[-2.4132,-1.85724]
[-2.41081,-1.85493]
[-2.40842,-1.85262]
[-2.40603,-1.85031]
[-2.40365,-1.84801]
[-2.40126,-1.84571]
[-2.39889,-1.84342]
[-2.39651,-1.84112]
[-2.39414,-1.83883]
[-2.39177,-1.83655]
[-2.38941,-1.83426]
[-2.38705,-1.83198]
[-2.38469,-1.8297]
[-2.38233,-1.82743]
[-2.37998,-1.82515]
[-2.37763,-1.82289]
[-2.37528,-1.82062]
[-2.37294,-1.81835]
[-2.3706,-1.81609]
[-2.36826,-1.81384]
[-2.36593,-1.81158]
[-2.3636,-1.80933]
[-2.36127,-1.80708]
[-2.35895,-1.80483]
[-2.35663,-1.80259]
[-2.35431,-1.80035]
[-2.35199,-1.79811]
[-2.34968,-1.79587]
[-2.34737,-1.79364]
[-2.34507,-1.79141]
[-2.34276,-1.78919]
[-2.34046,-1.78696]
[-2.33816,-1.78474]
[-2.33587,-1.78252]
[-2.33358,-1.7803]
[-2.33129,-1.77809]
[-2.32901,-1.77588]
[-2.32672,-1.77367]
[-2.32444,-1.77147]
[-2.32217,-1.76927]
[-2.31989,-1.76707]
[-2.31762,-1.76487]
[-2.31535,-1.76268]
[-2.31309,-1.76048]
[-2.31083,-1.7583]
[-2.30857,-1.75611]
[-2.30631,-1.75393]
[-2.30406,-1.75174]
[-2.30181,-1.74957]
[-2.29956,-1.74739]
[-2.29731,-1.74522]
[-2.29507,-1.74305]
[-2.29283,-1.74088]
[-2.29059,-1.73871]
[-2.28836,-1.73655]
[-2.28613,-1.73439]
[-2.2839,-1.73223]
[-2.28167,-1.73008]
[-2.27945,-1.72793]
[-2.27723,-1.72578]
[-2.27501,-1.72363]
[-2.2728,-1.72149]
[-2.27059,-1.71934]
[-2.26838,-1.7172]
[-2.26617,-1.71507]
[-2.26397,-1.71293]
[-2.26177,-1.7108]
[-2.25957,-1.70867]
[-2.25737,-1.70654]
[-2.25518,-1.70442]
[-2.25299,-1.7023]
[-2.2508,-1.70018]
