[-3.78056,-3.09721]
[-3.7727,-3.08989]
[-3.76487,-3.08261]
[-3.75707,-3.07536]
[-3.74931,-3.06813]
[-3.74157,-3.06094]
[-3.73387,-3.05377]
[-3.7262,-3.04663]
[-3.71856,-3.03952]
[-3.71095,-3.03244]
[-3.70337,-3.02539]
[-3.69582,-3.01836]
[-3.6883,-3.01137]
[-3.68082,-3.0044]
[-3.67336,-2.99746]
[-3.66593,-2.99055]
[-3.65854,-2.98366]
[-3.65117,-2.97681]
[-3.64383,-2.96998]
[-3.63652,-2.96317]
[-3.62924,-2.9564]
[-3.622,-2.94965]
[-3.61477,-2.94293]
[-3.60758,-2.93623]
[-3.60042,-2.92956]
[-3.59329,-2.92292]
[-3.58618,-2.91631]
[-3.5791,-2.90972]
[-3.57205,-2.90315]
[-3.56503,-2.89662]
[-3.55804,-2.8901]
[-3.55107,-2.88362]
[-3.54414,-2.87716]
[-3.53723,-2.87072]
[-3.53035,-2.86431]
[-3.52349,-2.85793]
[-3.51666,-2.85157]
[-3.50986,-2.84524]
[-3.50309,-2.83893]
[-3.49634,-2.83265]
[-3.48962,-2.82639]
[-3.48293,-2.82015]
[-3.47626,-2.81394]
[-3.46962,-2.80776]
[-3.46301,-2.8016]
[-3.45642,-2.79546]
[-3.44986,-2.78935]
[-3.44332,-2.78326]
[-3.43681,-2.77719]
[-3.43032,-2.77115]
[-3.42386,-2.76513]
[-3.41743,-2.75914]
[-3.41102,-2.75317]
[-3.40464,-2.74722]
[-3.39828,-2.74129]
[-3.39195,-2.73539]
[-3.38564,-2.72951]
[-3.37935,-2.72366]
[-3.37309,-2.71783]
[-3.36686,-2.71202]
[-3.36065,-2.70623]
[-3.35446,-2.70047]
[-3.3483,-2.69472]
[-3.34216,-2.689]
[-3.33605,-2.68331]
[-3.32996,-2.67763]
[-3.32389,-2.67198]
[-3.31785,-2.66634]
[-3.31183,-2.66073]
[-3.30584,-2.65515]
[-3.29986,-2.64958]
[-3.29391,-2.64403]
[-3.28799,-2.63851]
[-3.28208,-2.63301]
[-3.2762,-2.62753]
[-3.27035,-2.62207]
[-3.26451,-2.61663]
[-3.2587,-2.61121]
[-3.25291,-2.60581]
[-3.24714,-2.60044]
[-3.2414,-2.59508]
[-3.23568,-2.58975]
[-3.22998,-2.58443]
[-3.2243,-2.57914]
[-3.21864,-2.57387]
[-3.21301,-2.56861]
[-3.2074,-2.56338]
[-3.2018,-2.55817]
[-3.19623,-2.55297]
[-3.19069,-2.5478]
[-3.18516,-2.54265]
[-3.17965,-2.53751]
